Chr	Start	End
chr1	125000000	249250621
chr2	93300000	243199373
chr3	91000000	198022430
chr4	50400000	191154276
chr5	48400000	180915260
chr6	61000000	171115067
chr7	59900000	159138663
chr8	45600000	146364022
chr9	49000000	141213431
chr10	40200000	135534747
chr11	53700000	135006516
chr12	35800000	133851895
chr13	17900000	115169878
chr14	17600000	107349540
chr15	19000000	102531392
chr16	36600000	90354753
chr17	24000000	81195210
chr18	17200000	78077248
chr19	26500000	59128983
chr20	27500000	63025520
chr21	13200000	48129895
chr22	14700000	51304566
chrX	60600000	155270560
chrY	12500000	59373566
